x,y,z
0,0,51.91125449986637
0,1,54.083644008214186
0,2,56.20036446446397
0,3,58.15920889802989
0,4,59.85263951285313
0,5,61.18545115590182
0,6,62.086098743039415
0,7,62.512842379924166
0,8,62.45576928938895
0,9,61.93564961946052
0,10,61.000478385642886
0,11,59.72045182677788
0,12,58.182025830677986
0,13,56.481608068744336
0,14,54.719344369401085
0,15,52.993373539982535
0,16,51.39484328262937
0,17,50.0038954666892
0,18,48.88662298235062
0,19,48.092971573501565
0,20,47.65572473098971
0,21,47.59046136811125
0,22,47.896353464961976
0,23,48.55764641156613
0,24,49.54564340643989
0,25,50.820721053440245
0,26,52.32857262206393
0,27,53.99588440932841
0,28,55.73779430509512
0,29,57.46596995035161
0,30,59.09588185783491
0,31,60.554460497220795
0,32,61.788576377634215
0,33,62.76366526928325
0,34,63.45309439751667
0,35,63.833841260655745
0,36,63.882035810065545
0,37,63.57462104336609
0,38,62.89225294217346
0,39,61.821920738815884
0,40,60.35973739674071
0,41,58.51376069457008
0,42,56.306270390083924
0,43,53.77474992657935
0,44,50.970857338784676
0,45,47.9573870771732
0,46,44.80910514102952
0,47,41.61526065424528
0,48,38.47701710746503
0,49,35.50326118157755
0,50,32.80543957673959
0,51,30.491638335403383
0,52,28.66012608474142
0,53,27.389985827480693
0,54,26.72575832173895
0,55,26.66984777888278
0,56,27.18029418643537
0,57,28.171104085849798
0,58,29.516549747992375
0,59,31.061516534652604
0,60,32.64006592737722
0,61,34.1021708871292
0,62,35.32506352135134
0,63,36.20518571761104
0,64,36.661941515034265
0,65,36.64150807148677
0,66,36.11843584656173
0,67,35.09559814460368
0,68,33.60297068066617
0,69,31.695537741107586
0,70,29.450457870218088
0,71,26.96354226754817
0,72,24.346577136571266
0,73,21.726451984120246
0,74,19.238184936872937
0,75,17.015738633793298
0,76,15.18338609537777
0,77,13.847921540702
0,78,13.092060811515761
0,79,12.969470165944696
0,80,13.501959180900851
0,81,14.679269789939081
0,82,16.458180692476
0,83,18.738446731516095
0,84,21.348401958541324
0,85,24.073267142984996
0,86,26.687095532610794
0,87,28.983537700685602
0,88,30.80197421939666
0,89,32.03041842011601
0,90,32.60377944387962
0,91,32.50611669062555
0,92,31.77017865211899
0,93,30.473748354538184
0,94,28.732267616392104
0,95,26.68982285138088
0,96,24.50931201157233
0,97,22.36227847143169
0,98,20.41890601936465
0,99,18.83864166700133
1,0,56.21999494957845
1,1,58.363181719264205
1,2,60.403903178071616
1,3,62.23859875600612
1,4,63.76011001797154
1,5,64.87508923672324
1,6,65.51555116187822
